date;sku;txt;umb;qty;
2025-01-21;17877;Traucet acetaminofen 1g/ 100mL PP Foil;UN;168;
2025-01-22;17878;Traucet acetaminofen 1g/ 100mL PP Foil;UN;240;
2025-01-23;17879;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1200;
2025-01-24;17880;Traucet acetaminofen 1g/ 100mL PP Foil;UN;36312;
2025-01-28;17881;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11918;
2025-01-31;17882;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2352;
2025-02-03;17883;Traucet acetaminofen 1g/ 100mL PP Foil;UN;528;
2025-02-04;17884;Traucet acetaminofen 1g/ 100mL PP Foil;UN;14712;
2025-02-05;17885;Traucet acetaminofen 1g/ 100mL PP Foil;UN;288;
2025-02-06;17886;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1368;
2025-02-07;17887;Traucet acetaminofen 1g/ 100mL PP Foil;UN;650;
2025-02-10;17888;Traucet acetaminofen 1g/ 100mL PP Foil;UN;864;
2025-02-11;17889;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5544;
2025-02-12;17890;Traucet acetaminofen 1g/ 100mL PP Foil;UN;7320;
2025-02-13;17891;Traucet acetaminofen 1g/ 100mL PP Foil;UN;10872;
2025-02-14;17892;Traucet acetaminofen 1g/ 100mL PP Foil;UN;480;
2025-02-17;17893;Traucet acetaminofen 1g/ 100mL PP Foil;UN;9576;
2025-02-18;17894;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6327;
2025-02-19;17895;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2840;
2025-02-20;17896;Traucet acetaminofen 1g/ 100mL PP Foil;UN;16656;
2025-02-21;17897;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1536;
2025-02-24;17898;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1392;
2025-02-25;17899;Traucet acetaminofen 1g/ 100mL PP Foil;UN;864;
2025-02-26;17900;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1536;
2025-02-27;17901;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2472;
2025-02-28;17902;Traucet acetaminofen 1g/ 100mL PP Foil;UN;12432;
2025-03-03;17903;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2424;
2025-03-04;17904;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3120;
2025-03-05;17905;Traucet acetaminofen 1g/ 100mL PP Foil;UN;1824;
2025-03-06;17906;Traucet acetaminofen 1g/ 100mL PP Foil;UN;8376;
2025-03-07;17907;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2208;
2025-03-10;17908;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3311;
2025-03-11;17909;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5592;
2025-03-12;17910;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3600;
2025-03-13;17911;Traucet acetaminofen 1g/ 100mL PP Foil;UN;11568;
2025-03-14;17912;Traucet acetaminofen 1g/ 100mL PP Foil;UN;5496;
2025-03-17;17913;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4776;
2025-03-18;17914;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2064;
2025-03-20;17915;Traucet acetaminofen 1g/ 100mL PP Foil;UN;18479;
2025-03-21;17916;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2399;
2025-03-25;17917;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3176;
2025-03-26;17918;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2928;
2025-03-27;17919;Traucet acetaminofen 1g/ 100mL PP Foil;UN;4056;
2025-04-01;17920;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6813;
2025-04-02;17921;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3504;
2025-04-03;17922;Traucet acetaminofen 1g/ 100mL PP Foil;UN;3816;
2025-04-04;17923;Traucet acetaminofen 1g/ 100mL PP Foil;UN;6912;
2025-04-07;17924;Traucet acetaminofen 1g/ 100mL PP Foil;UN;2184;
